Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Pulseiras Diversos",5254124,"0003029228","Pulseira",10,"","Cor: Preto
Material: Courino 
Pulseira Regulável
Medidas do Produto(cm)
Largura 6
Altura 7.5
Profundidade 2
Peso: 10g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1017,0,9.9,0,0,0,,,False,False,"PulseiraCour03029228.jpg","PulseiraCour03029228.jpg","PulseiraCour03029228M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5254126,"0003029226","Pulseira",10,"","Cor: Preto
Material: Courino 
Pulseira Regulável
Medidas do Produto(cm)
Largura 6
Altura 7.5
Profundidade 2
Peso: 10g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,2,0,True,1017,0,9.9,0,0,0,,,False,False,"PulseiraCour03029226.jpg","PulseiraCour03029226.jpg","PulseiraCour03029226M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5254162,"0003029227","Pulseira",10,"","Cor: Preto
Material: Courino 
Pulseira Regulável
Medidas do Produto(cm)
Largura 6
Altura 7.5
Profundidade 2
Peso: 10g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,1,0,True,1017,0,9.9,0,0,0,,,False,False,"PulseiraCour03029227.jpg","PulseiraCour03029227.jpg","PulseiraCour03029227M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5254168,"0003029225","Pulseira",10,"","Cor: Marrom
Material: Courino 
Pulseira Regulável
Medidas do Produto(cm)
Largura 6
Altura 7.5
Profundidade 2
Peso: 10g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,4,0,True,1013,0,9.9,0,0,0,,,False,False,"PulseiraCour03029225.jpg","PulseiraCour03029225.jpg","PulseiraCour03029225M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5254170,"0003029223","Pulseira",10,"","Cor: Marrom
Material: Courino 
Pulseira Regulável
Medidas do Produto(cm)
Largura 6
Altura 7.5
Profundidade 2
Peso: 10g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,3,0,True,1013,0,9.9,0,0,0,,,False,False,"PulseiraCour03029223.jpg","PulseiraCour03029223.jpg","PulseiraCour03029223M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5254171,"0003029224","Pulseira",10,"","Cor: Marrom
Material: Courino 
Pulseira Regulável
Medidas do Produto(cm)
Largura 6
Altura 7.5
Profundidade 2
Peso: 10g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,4,0,True,1013,0,9.9,0,0,0,,,False,False,"PulseiraCour03029224.jpg","PulseiraCour03029224.jpg","PulseiraCour03029224M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5255291,"0003029221","Pulseira",14,"","Colorido
Material: Courino,Pedra e Metal
Pingentes Sortidos
Pulseira Regulável
Medidas do Produto(cm)
Largura 6.5
Altura 7.5
Profundidade 2
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,22,0,True,1407,0,9.9,0,0,0,,,False,False,"PulseiraCour03029221.jpg","PulseiraCour03029221.jpg","PulseiraCour03029221M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5255292,"0003029222","Pulseira",14,"","Colorido
Material: Courino,Pedra e Metal
Pingentes Sortidos
Pulseira Regulável
Medidas do Produto(cm)
Largura 6.5
Altura 7.5
Profundidade 2
Peso: 14g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,22,0,True,1407,0,9.9,0,0,0,,,False,False,"PulseiraCour03029222.jpg","PulseiraCour03029222.jpg","PulseiraCour03029222M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5273588,"0003029263","Pulseira",32,"","Cor: Dourado Envelhecido e Vermelho
Material: Metal, Cristal e Courino
Pingente Sortido
Medidas do Produto(cm)
Largura 2.5
Altura 19
Profundidade 1.5
Peso: 32g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,3207,0,10.5,0,0,0,,,False,False,"PulseiraDiver03029263.jpg","PulseiraDiver03029263.jpg","PulseiraDiver03029263M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5273623,"0003029262","Pulseira",32,"","Cor: Dourado Envelhecido e Bege
Material: Metal, Cristal e Courino
Pingente Sortido
Medidas do Produto(cm)
Largura 2.5
Altura 19
Profundidade 1.5
Peso: 32g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,3207,0,10.5,0,0,0,,,False,False,"PulseiraDiver03029262.jpg","PulseiraDiver03029262.jpg","PulseiraDiver03029262M.jpg","","","","","","","",61,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5285746,"0003029288","Pulseira",18,"","Cor: Azul Escuro
Material: Courino 
Pulseira não Ajustável
Pingentes Sortidos
Contém 7 pulseiras
Medidas do Produto(cm)
Largura 7
Altura 7
Profundidade 0.5
Peso: 18g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1802,0,6.9,0,0,0,,,False,False,"PulseiraBFin03029288.jpg","PulseiraBFin03029288.jpg","PulseiraBFin03029288M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5285755,"0003029291","Pulseira",18,"","Cor: Preto
Material: Courino 
Pulseira não Ajustável
Pingentes Sortidos
Contém 7 pulseiras
Medidas do Produto(cm)
Largura 7
Altura 7
Profundidade 0.5
Peso: 18g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1817,0,6.9,0,0,0,,,False,False,"PulseiraBFin03029291.jpg","PulseiraBFin03029291.jpg","PulseiraBFin03029291M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
"A","Pulseiras Diversos",5285762,"0003029290","Pulseira",18,"","Cor: Marrom Escuro
Material: Courino 
Pulseira não Ajustável
Pingentes Sortidos
Contém 7 pulseiras
Medidas do Produto(cm)
Largura 7
Altura 7
Profundidade 0.5
Peso: 18g

Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias","",False,0,0,False,1802,0,6.9,0,0,0,,,False,False,"PulseiraBFin03029290.jpg","PulseiraBFin03029290.jpg","PulseiraBFin03029290M.jpg","","","","","","","",60,,642,"",,,0,,"","Pulseira, bijuterias, atacado de bijuterias, atacado de bijouterias, biju, biju, finas, bijuterias",0,0,,True,False,0,0,0,"","","","","","",""
